GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0061008	hepaticobiliary system development	9.64e-03	9.64e-03	1	PIK3CA,EGFR,NF1
GO:0048732	gland development	4.22e-05	4.22e-05	1	EZH2,PIK3CA,SOX9,FOXA1,BRCA2,EGFR,ATM,BRAF,PTEN,NF1
GO:0001889	liver development	9.04e-03	9.04e-03	1	PIK3CA,EGFR,NF1
GO:0009790	embryo development	4.90e-03	4.90e-03	1	BRCA1,SOX9,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,KIT,SETD2,NF1
GO:0009792	embryo development ending in birth or egg hatching	2.88e-03	2.88e-03	1	BRCA1,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,SETD2,NF1
GO:0043009	chordate embryonic development	2.72e-03	2.72e-03	1	BRCA1,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,SETD2,NF1
GO:0006897	endocytosis	1.19e-02	1.19e-02	1	PIK3CA,PIK3R1,EGFR,PTEN
GO:0051338	regulation of transferase activity	4.75e-11	4.75e-11	1	FGFR3,MAP3K1,PIK3CG,EZH2,PIK3CA,FLT3,CDKN2C,PDGFRA,RB1,TP53,PIK3R1,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2,NF1,MTOR
GO:0051348	negative regulation of transferase activity	4.60e-03	4.60e-03	1	RB1,TP53,PTEN,NF1
GO:0090407	organophosphate biosynthetic process	2.41e-04	2.41e-04	1	FGFR3,PIK3CG,PIK3CA,IDH1,PIK3R1,ATM,PTEN,PTPN11,NF1
GO:0051347	positive regulation of transferase activity	1.23e-06	1.23e-06	1	FGFR3,MAP3K1,PIK3CG,EZH2,PIK3CA,FLT3,PDGFRA,EGFR,KIT,BRAF,PTEN,PTPN11,LRRK2
GO:0008610	lipid biosynthetic process	3.13e-04	3.13e-04	1	FGFR3,PIK3CG,PIK3CA,IDH1,PIK3R1,ATM,PTEN,PTPN11,MTOR
GO:0019216	regulation of lipid metabolic process	4.23e-07	4.23e-07	1	BRCA1,FGFR3,PIK3CG,FLT3,PDGFRA,IDH1,RB1,PIK3R1,KIT,MTOR
GO:0030258	lipid modification	1.35e-07	1.35e-07	1	FGFR3,PIK3CG,PIK3CA,PDGFRA,PIK3R1,EGFR,PTEN,PTPN11,MTOR
GO:0046486	glycerolipid metabolic process	8.52e-06	8.52e-06	1	FGFR3,PIK3CG,PIK3CA,PDGFRA,PIK3R1,EGFR,ATM,PTEN,PTPN11
GO:0045017	glycerolipid biosynthetic process	9.71e-05	9.71e-05	1	FGFR3,PIK3CG,PIK3CA,PIK3R1,ATM,PTEN,PTPN11
GO:0048017	inositol lipid-mediated signaling	6.74e-15	6.74e-15	1	FGFR3,PIK3CG,PIK3CA,FLT3,SOX9,PDGFRA,TP53,PIK3R1,EGFR,KIT,PTEN,PTPN11,NF1,MTOR
GO:0048015	phosphatidylinositol-mediated signaling	5.47e-15	5.47e-15	1	FGFR3,PIK3CG,PIK3CA,FLT3,SOX9,PDGFRA,TP53,PIK3R1,EGFR,KIT,PTEN,PTPN11,NF1,MTOR
GO:0014065	phosphatidylinositol 3-kinase signaling	7.74e-13	7.74e-13	1	FGFR3,PIK3CG,PIK3CA,FLT3,SOX9,PDGFRA,PIK3R1,EGFR,KIT,PTEN,PTPN11,NF1
GO:0006644	phospholipid metabolic process	1.96e-08	1.96e-08	1	FGFR3,PIK3CG,PIK3CA,FLT3,PDGFRA,IDH1,PIK3R1,EGFR,ATM,PTEN,PTPN11
GO:0006650	glycerophospholipid metabolic process	1.22e-06	1.22e-06	1	FGFR3,PIK3CG,PIK3CA,PDGFRA,PIK3R1,EGFR,ATM,PTEN,PTPN11
GO:0046488	phosphatidylinositol metabolic process	1.75e-08	1.75e-08	1	FGFR3,PIK3CG,PIK3CA,PDGFRA,PIK3R1,EGFR,ATM,PTEN,PTPN11
GO:0008654	phospholipid biosynthetic process	4.76e-06	4.76e-06	1	FGFR3,PIK3CG,PIK3CA,IDH1,PIK3R1,ATM,PTEN,PTPN11
GO:0046474	glycerophospholipid biosynthetic process	4.60e-05	4.60e-05	1	FGFR3,PIK3CG,PIK3CA,PIK3R1,ATM,PTEN,PTPN11
GO:0006661	phosphatidylinositol biosynthetic process	1.24e-06	1.24e-06	1	FGFR3,PIK3CG,PIK3CA,PIK3R1,ATM,PTEN,PTPN11
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	1.08e-07	1.08e-07	1	FGFR3,PIK3CG,PIK3CA,PIK3R1,ATM,PTPN11
GO:1903725	regulation of phospholipid metabolic process	5.80e-06	5.80e-06	1	FGFR3,FLT3,PDGFRA,IDH1,PIK3R1,KIT
