GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0044087	regulation of cellular component biogenesis	3.78e-03	3.78e-03	1	BRCA1,APC,TP53,TAF1,NOTCH1,ATM,ARHGAP35,PTEN,ATR,LRRK2,MTOR
GO:0044089	positive regulation of cellular component biogenesis	2.31e-02	2.31e-02	1	APC,TP53,TAF1,ATM,ARHGAP35,ATR,MTOR
GO:0038128	ERBB2 signaling pathway	2.49e-02	2.49e-02	1	PIK3CA,EGFR,ERBB4
GO:0031929	TOR signaling	1.39e-02	1.39e-02	1	PIK3CA,ATM,MTOR
GO:0010563	negative regulation of phosphorus metabolic process	3.95e-02	3.95e-02	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0045936	negative regulation of phosphate metabolic process	3.90e-02	3.90e-02	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0042326	negative regulation of phosphorylation	5.91e-03	5.91e-03	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0032269	negative regulation of cellular protein metabolic process	1.30e-02	1.30e-02	1	BRCA1,MECOM,PPP2R1A,APC,EGFR,TAF1,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0031400	negative regulation of protein modification process	7.19e-04	7.19e-04	1	BRCA1,MECOM,PPP2R1A,APC,TAF1,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0001933	negative regulation of protein phosphorylation	3.13e-03	3.13e-03	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0050673	epithelial cell proliferation	1.05e-02	1.05e-02	1	BRCA2,EGFR,PTEN,NF1,MTOR
GO:0050678	regulation of epithelial cell proliferation	4.41e-03	4.41e-03	1	BRCA2,EGFR,PTEN,NF1,MTOR
GO:0090087	regulation of peptide transport	5.50e-03	5.50e-03	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0060341	regulation of cellular localization	1.07e-03	1.07e-03	1	TP53,EGFR,BAP1,PTEN,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0051169	nuclear transport	3.65e-02	3.65e-02	1	TP53,EGFR,ERBB4,SETD2,NF1,MTOR
GO:0006913	nucleocytoplasmic transport	3.31e-02	3.31e-02	1	TP53,EGFR,ERBB4,SETD2,NF1,MTOR
GO:0032880	regulation of protein localization	2.88e-02	2.88e-02	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0070201	regulation of establishment of protein localization	8.46e-03	8.46e-03	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0051223	regulation of protein transport	4.13e-03	4.13e-03	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:1903827	regulation of cellular protein localization	6.13e-04	6.13e-04	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0032386	regulation of intracellular transport	4.07e-04	4.07e-04	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0046822	regulation of nucleocytoplasmic transport	2.98e-04	2.98e-04	1	TP53,EGFR,ERBB4,SETD2,NF1,MTOR
GO:0033157	regulation of intracellular protein transport	2.14e-05	2.14e-05	1	TP53,EGFR,BAP1,ERBB4,SETD2,LRRK2,NF1,MTOR
GO:0006605	protein targeting	2.99e-02	2.99e-02	1	RPL5,EGFR,BAP1,ERBB4,LRRK2,NF1,MTOR
GO:1903533	regulation of protein targeting	2.53e-03	2.53e-03	1	EGFR,BAP1,ERBB4,LRRK2,NF1,MTOR
GO:0061061	muscle structure development	1.34e-02	1.34e-02	1	EP300,ARID1A,PDGFRA,PTEN,ERBB4,NF1,MTOR
GO:0010001	glial cell differentiation	2.02e-02	2.02e-02	1	EGFR,PTEN,NF1,MTOR
GO:0060249	anatomical structure homeostasis	1.40e-02	1.40e-02	1	ATRX,BRCA2,EGFR,ATM,NF1
GO:0040029	regulation of gene expression, epigenetic	4.82e-02	4.82e-02	1	BRCA1,EP300,SF3B1,ARID1A,DNMT3A,EGFR
GO:0070646	protein modification by small protein removal	1.45e-03	1.45e-03	1	BRCA1,EP300,USP9X,APC,TP53,BAP1,ASXL1,PTEN
GO:0016579	protein deubiquitination	9.74e-04	9.74e-04	1	BRCA1,EP300,USP9X,APC,TP53,BAP1,ASXL1,PTEN
GO:1903320	regulation of protein modification by small protein conjugation or removal	4.74e-02	4.74e-02	1	BRCA1,TAF1,CDKN2A,PTEN,LRRK2,MTOR
GO:0031396	regulation of protein ubiquitination	2.97e-02	2.97e-02	1	BRCA1,TAF1,CDKN2A,PTEN,LRRK2,MTOR
GO:0051321	meiotic cell cycle	1.12e-02	1.12e-02	1	ATRX,STAG2,PPP2R1A,SMC3,BRCA2,ATM
GO:0030258	lipid modification	5.72e-05	5.72e-05	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,MTOR
GO:0046834	lipid phosphorylation	4.02e-04	4.02e-04	1	FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4
GO:0046486	glycerolipid metabolic process	1.39e-03	1.39e-03	1	FGFR3,PIK3CA,PDGFRA,EGFR,ATM,PTEN,ERBB4
GO:0006644	phospholipid metabolic process	1.75e-03	1.75e-03	1	FGFR3,PIK3CA,PDGFRA,EGFR,ATM,PTEN,ERBB4
GO:0006650	glycerophospholipid metabolic process	3.12e-04	3.12e-04	1	FGFR3,PIK3CA,PDGFRA,EGFR,ATM,PTEN,ERBB4
GO:0046488	phosphatidylinositol metabolic process	1.18e-05	1.18e-05	1	FGFR3,PIK3CA,PDGFRA,EGFR,ATM,PTEN,ERBB4
GO:0046854	phosphatidylinositol phosphorylation	2.26e-04	2.26e-04	1	FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4
GO:0006661	phosphatidylinositol biosynthetic process	2.08e-02	2.08e-02	1	FGFR3,PIK3CA,ATM,PTEN
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	3.08e-02	3.08e-02	1	FGFR3,PIK3CA,ATM
GO:0043087	regulation of GTPase activity	3.73e-02	3.73e-02	1	FGFR3,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:0051338	regulation of transferase activity	4.44e-06	4.44e-06	1	FGFR3,MAP3K1,PIK3CA,PDGFRA,APC,TP53,EGFR,CDK12,PTEN,LRRK2,NF1,MTOR
GO:0008213	protein alkylation	3.35e-04	3.35e-04	1	BRCA1,ATRX,MECOM,KDM6A,NSD1,TET2,SETD2
GO:0032259	methylation	2.01e-04	2.01e-04	1	BRCA1,ATRX,MECOM,DNMT3A,PIK3CA,KDM6A,NSD1,TET2,SETD2
GO:0043414	macromolecule methylation	2.86e-05	2.86e-05	1	BRCA1,ATRX,MECOM,DNMT3A,PIK3CA,KDM6A,NSD1,TET2,SETD2
GO:0006479	protein methylation	3.35e-04	3.35e-04	1	BRCA1,ATRX,MECOM,KDM6A,NSD1,TET2,SETD2
GO:0051784	negative regulation of nuclear division	4.66e-02	4.66e-02	1	ATRX,APC,ATM
GO:0009266	response to temperature stimulus	3.95e-02	3.95e-02	1	EP300,ATM,ATR,NF1,MTOR
GO:0007059	chromosome segregation	1.12e-03	1.12e-03	1	BRCA1,ATRX,STAG2,PPP2R1A,SMC3,USP9X,APC,ATM
GO:0098813	nuclear chromosome segregation	3.46e-02	3.46e-02	1	ATRX,STAG2,PPP2R1A,SMC3,APC,ATM
GO:0051985	negative regulation of chromosome segregation	1.31e-02	1.31e-02	1	ATRX,APC,ATM
GO:0009408	response to heat	8.17e-03	8.17e-03	1	EP300,ATM,ATR,NF1,MTOR
GO:0034605	cellular response to heat	1.43e-03	1.43e-03	1	EP300,ATM,ATR,NF1,MTOR
GO:0000278	mitotic cell cycle	1.97e-06	1.97e-06	1	ATRX,EP300,STAG2,PPP2R1A,SMC3,DNMT3A,USP9X,APC,ACVR1B,BRCA2,TP53,EGFR,CDKN2A,ATM,PBRM1,PTEN
GO:1903047	mitotic cell cycle process	6.23e-04	6.23e-04	1	ATRX,EP300,PPP2R1A,SMC3,APC,ACVR1B,BRCA2,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0006325	chromatin organization	9.36e-12	9.36e-12	1	BRCA1,ATRX,MECOM,EP300,ARID1A,DNMT3A,KDM5C,BRCA2,TP53,KDM6A,TAF1,CDKN2A,ATM,BAP1,PBRM1,NSD1,TET2,ASXL1,SETD2
GO:0006974	cellular response to DNA damage stimulus	5.91e-06	5.91e-06	1	POLQ,ATRX,EP300,SMC3,APC,BRCA2,TP53,EGFR,TAF1,ATM,ATR,SETD2
GO:0042770	signal transduction in response to DNA damage	1.12e-05	1.12e-05	1	BRCA1,ATRX,EP300,BRCA2,TP53,ATM,ATR
GO:0042772	DNA damage response, signal transduction resulting in transcription	9.33e-03	9.33e-03	1	BRCA1,BRCA2,TP53
GO:0044770	cell cycle phase transition	1.42e-03	1.42e-03	1	EP300,PPP2R1A,APC,ACVR1B,TP53,EGFR,TAF1,CDKN2A,ATM,PTEN
GO:0044843	cell cycle G1/S phase transition	3.29e-04	3.29e-04	1	EP300,ACVR1B,TP53,EGFR,TAF1,CDKN2A,ATM,PTEN
GO:0044772	mitotic cell cycle phase transition	8.36e-03	8.36e-03	1	EP300,PPP2R1A,APC,ACVR1B,TP53,EGFR,CDKN2A,ATM,PTEN
